education,unit,income,type,space
2,4,4,5,80
3,3,3,5,73
3,1,2,7,70
2,1,3,2,75
3,4,5,5,60
3,1,2,5,89
3,4,3,5,105
3,2,3,4,90
2,1,3,7,90
2,4,2,4,60
4,2,2,5,80
2,4,2,4,60
1,4,2,4,50
3,1,3,5,50
4,1,3,5,67
3,3,2,5,70
2,3,3,4,70
1,4,3,4,80
3,4,2,2,75
4,3,3,11,79
3,2,1,3,69
3,3,2,5,62
3,3,3,4,65
4,3,3,8,63
3,1,2,4,60
3,3,3,5,62
3,1,1,5,66
3,3,3,6,70
2,1,2,3,58
2,1,2,5,58
2,1,1,3,60
3,2,3,5,59
3,2,2,4,60
3,2,2,3,56
3,2,2,5,69
3,1,3,5,64
3,3,2,5,77
1,1,1,3,64
2,1,2,3,73
3,2,1,2,80
3,1,2,8,80
3,1,3,8,100
1,1,2,3,63
1,6,1,2,60
1,2,3,4,97
1,1,2,2,107
3,1,1,4,59
2,1,1,1,76
3,1,1,5,60
2,1,2,4,80
2,6,1,4,57.8
2,4,2,8,100
3,2,3,5,68
3,4,1,4,60
3,2,2,5,76
3,2,2,5,100
3,2,2,4,70
2,3,4,2,89.41
3,3,3,4,80
2,6,2,4,60
4,3,3,5,55
1,6,1,5,60
2,5,2,4,100
2,5,2,5,100
3,1,2,3,74
2,4,2,4,82
2,1,2,4,67
3,4,3,4,56
1,5,1,5,120
1,2,1,5,55
2,1,3,5,78
3,4,5,8,87
2,1,3,5,70
3,1,3,11,80
3,1,2,3,60
1,6,2,2,79
2,6,2,4,70
2,1,1,4,80
3,1,2,7,70
3,6,4,5,90
3,1,4,5,120
3,6,2,3,80
2,1,2,4,70
2,5,1,5,58
2,1,1,4,64
2,1,3,3,109
3,2,2,4,84
2,4,1,4,60
2,1,2,4,78
2,6,2,5,80
2,2,3,5,90
3,4,2,5,75
3,6,2,5,85
1,1,2,4,60
3,2,2,5,60
1,4,1,5,87
3,1,2,4,70
2,4,1,3,70
2,4,1,5,68.5
3,1,1,5,68
3,4,2,8,80
2,2,2,5,72
2,1,2,2,70
1,1,1,2,70
2,4,1,4,70
3,4,3,11,85
1,6,2,2,60
2,5,1,2,90
2,1,1,4,80
3,1,2,4,70
2,4,1,5,80
1,5,1,5,75
2,4,2,5,106
1,1,2,3,60
2,2,2,5,80
3,1,1,3,60
2,1,3,5,80
3,4,2,5,86
2,1,2,4,87
3,3,3,5,75
1,1,1,2,60
3,4,4,8,50
3,3,2,4,72
2,1,2,5,88
1,2,1,5,69
2,1,1,4,58
3,4,5,5,80
2,1,3,5,71
2,1,1,2,85
2,1,3,5,60
1,4,2,8,70
3,1,2,4,90
2,2,1,4,78
3,2,2,5,100
3,1,3,10,78.8
2,1,2,7,93
3,2,3,5,100
3,2,4,5,130.97
3,2,4,4,80
4,2,1,5,89
3,2,1,4,60
3,4,3,11,110
3,4,3,5,60
3,2,2,5,70
1,1,2,11,115
2,5,2,5,60
2,4,1,3,60
2,4,1,7,120
2,4,3,5,70
3,4,3,5,60
2,4,2,4,100
3,4,2,11,60
3,2,2,3,60
3,2,3,3,90
2,4,2,2,54
3,4,5,8,160
3,2,5,11,110
3,4,5,11,110
3,4,2,3,60
3,4,2,2,60
3,1,2,4,90
4,1,2,7,110
2,1,2,5,100
2,4,2,4,65
3,1,2,7,117
3,2,2,5,70
3,2,3,8,88
3,1,2,5,90
2,1,2,3,90
3,2,3,8,148
3,1,3,5,120
3,4,3,8,60
2,1,2,4,70
3,3,3,8,93
2,1,3,2,90
3,1,3,3,120
2,1,2,3,65
2,1,3,5,138
2,2,3,4,97
1,2,2,4,97
3,4,1,3,70
3,2,3,5,97
3,4,2,5,101
3,2,2,8,89
2,4,3,5,92
3,1,2,3,106
3,4,2,5,120
3,4,3,4,70
3,4,2,3,88
4,6,4,3,70
2,1,1,3,50
1,4,3,2,90
2,1,2,5,90
3,2,2,5,80
3,4,2,5,80
3,1,1,3,90
3,4,2,4,137
3,6,1,3,72
3,2,2,3,104
3,4,3,5,100
3,1,2,7,106
3,1,2,8,128
3,2,3,7,63.7
3,1,2,5,50
3,4,2,8,106
2,4,2,5,60
3,4,5,4,70
3,2,2,5,80
2,4,1,4,80
3,1,2,5,91
3,3,1,5,60
3,1,1,5,62
1,4,2,2,60
3,4,5,5,80
3,6,2,4,80
3,2,1,3,70
2,6,2,5,70
3,4,2,3,60
3,1,1,3,70
1,1,1,2,77
1,4,2,5,120
3,3,3,11,100
1,4,3,11,90
2,4,2,4,100
2,6,1,2,80
3,1,1,2,65
2,1,2,11,80
2,1,2,4,84
1,6,1,1,168
2,6,2,2,97
3,1,5,5,130
3,4,5,11,120
