moisture
4.5
3.5
3.55
4.03
3.19
3.95
3.66
4.18
4.32
4.87
3.56
3.89
3.86
3.34
3.93
4.43
4.62
3.74
3.52
3.79
4.09
4.75
4.49
4.51
3.72
3.49
4.36
4.42
4.07
4.18
3.64
4.11
4.15
4.57
3.57
4.13
3.86
4.43
3.48
3.48
3.07
3.68
3.97
3.45
4.04
4.26
3.85
3.72
4.28
4.43
